orf_name_id,orf_name,deg,eff,sens,trans,eigenvec_centr,closeness_centr,smallest_eigenvec,neighbor_degree
62,PPIL1,54,0.5132240926278278,0.23264790553710366,0.8043326345213138,0.03741282661993998,0.5108173076923077,0.00573613760135279,75.38888888888889
63,PPM1G,58,0.5980318587169331,0.17420166113629706,0.6515426497277677,0.03779840657964634,0.5120481927710844,0.004719095800699841,71.15517241379311
64,PRPF3,79,1.0054929767176608,0.2049563023280687,0.5472249269717624,0.06925667930622378,0.5176613885505481,0.005688894215041774,81.10126582278481
65,PRPF4,57,0.5591502114752112,0.21586674269121656,0.7274436090225563,0.04140215218038844,0.5157766990291263,0.005728857198425521,78.3859649122807
66,PRPF40A,62,0.7097741535404473,0.1846093265752694,0.6139608672659969,0.04162802959575889,0.5065554231227652,0.005497647878489075,71.11290322580645
67,PRPF6,61,0.6567248569590076,0.21495078695502182,0.7191256830601093,0.04427566643350205,0.518925518925519,0.005726721937048411,78.21311475409836
68,RBM25,55,0.537610802271168,0.2138199115547969,0.701010101010101,0.034222898640458924,0.4890678941311853,0.0056775337125294836,67.63636363636364
69,SART1,66,0.7359468176746808,0.19561994882810696,0.6219114219114219,0.04543843972816403,0.5208333333333334,0.00572810297184252,73.37878787878788
70,SF3A2,65,0.7027348565747088,0.19563314179696417,0.6379807692307692,0.0441014875228035,0.5233990147783252,0.005614312055445058,73.04615384615384
71,SF3B4,66,0.8049272728620172,0.17944163164158505,0.6065268065268066,0.04420580109925151,0.5120481927710844,0.005435013289251209,71.9090909090909
72,SF3B6,98,1.5120417230293102,0.16934118037456253,0.44329896907216493,0.07698752751688591,0.5483870967741935,0.00565665622407214,75.74489795918367
73,SMNDC1,55,0.5316049806340835,0.22510685314048262,0.734006734006734,0.03624536081166132,0.49824150058616645,0.005698514724387529,70.85454545454546
74,SNRPA1,77,0.9817898743464586,0.17668102124298732,0.5184552289815447,0.05261472568316301,0.533249686323714,0.005693170091995901,71.94805194805195
75,SNRPB2,66,0.7603025129582959,0.1860318076951482,0.6116550116550117,0.04342554593698788,0.5233990147783252,0.005719507062117733,71.5
76,SNRPC,53,0.5002051618487362,0.2181590605794323,0.7561683599419449,0.03373363302469528,0.5005889281507656,0.005713726295622381,70.88679245283019
77,SRRT,59,0.586490425048305,0.19371828237682748,0.6610169491525424,0.038305452911092656,0.5208333333333334,0.005648458996090049,71.62711864406779
78,SRSF6,54,0.5091318693405272,0.21742591432774014,0.7645003494060097,0.0372628342778242,0.5151515151515151,0.0057185928987635495,76.92592592592592
79,THOC2,52,0.5061663331887662,0.21899101937364562,0.7594268476621417,0.03227806826644576,0.4941860465116279,0.005693645110923183,68.98076923076923
80,THOC3,45,0.3760988762704708,0.25697010431714634,0.9585858585858585,0.029205012136606135,0.4738015607580825,0.005714396165967706,72.37777777777778
81,THOC5,52,0.5038457087881385,0.21956151601515747,0.7383107088989442,0.03301245176965299,0.4913294797687861,0.005668060476754796,68.59615384615384
82,THOC7,48,0.4106304334913576,0.21981813835534414,0.8200354609929078,0.029290338607662537,0.4868270332187858,0.004901644934198123,69.20833333333333
83,TNIP2,94,1.4030830518855648,0.0590179944308125,0.16700983756577442,0.051321477062201484,0.5393401015228426,0.005401004600190897,51.90425531914894
